feature-extraction,run#,epoch,state,AMI,ARI,NMI
doc2vec,11,145,18,0.000373,0.000304,0.000400
doc2vec,11,160,20,0.000374,0.000305,0.000402
doc2vec,11,175,22,0.000374,0.000306,0.000402
doc2vec,11,190,24,0.000374,0.000306,0.000402
doc2vec,11,205,26,0.000380,0.000311,0.000407
doc2vec,11,220,28,0.000372,0.000304,0.000399
doc2vec,11,235,30,0.000375,0.000306,0.000402
doc2vec,11,250,32,0.000375,0.000306,0.000402
doc2vec,11,265,34,0.000374,0.000305,0.000402
doc2vec,11,280,36,0.000380,0.000311,0.000407
doc2vec,11,295,38,0.000380,0.000311,0.000407
doc2vec,12,25,2,0.000374,0.000305,0.000401
doc2vec,12,40,4,0.000380,0.000311,0.000407
doc2vec,12,55,6,0.000380,0.000311,0.000407
doc2vec,12,70,8,0.000373,0.000304,0.000400
doc2vec,12,85,10,0.000374,0.000306,0.000402
doc2vec,12,100,12,0.000374,0.000305,0.000402
doc2vec,12,115,14,0.000374,0.000305,0.000402
doc2vec,12,130,16,0.000374,0.000305,0.000402
doc2vec,12,145,18,0.000373,0.000304,0.000400
doc2vec,12,160,20,0.000374,0.000305,0.000402
doc2vec,12,175,22,0.000374,0.000306,0.000402
doc2vec,12,190,24,0.000374,0.000306,0.000402
doc2vec,12,205,26,0.000380,0.000311,0.000407
doc2vec,12,220,28,0.000372,0.000304,0.000399
doc2vec,12,235,30,0.000375,0.000306,0.000402
doc2vec,12,250,32,0.000375,0.000306,0.000402
doc2vec,12,265,34,0.000374,0.000305,0.000402
doc2vec,12,280,36,0.000380,0.000311,0.000407
doc2vec,12,295,38,0.000380,0.000311,0.000407
doc2vec,13,25,2,0.000374,0.000305,0.000401
doc2vec,13,40,4,0.000380,0.000311,0.000407
doc2vec,13,55,6,0.000380,0.000311,0.000407
doc2vec,13,70,8,0.000373,0.000304,0.000400
doc2vec,13,85,10,0.000374,0.000306,0.000402
doc2vec,13,100,12,0.000374,0.000305,0.000402
doc2vec,13,115,14,0.000374,0.000305,0.000402
doc2vec,13,130,16,0.000374,0.000305,0.000402
doc2vec,13,145,18,0.000373,0.000304,0.000400
doc2vec,13,160,20,0.000374,0.000305,0.000402
doc2vec,13,175,22,0.000374,0.000306,0.000402
doc2vec,13,190,24,0.000374,0.000306,0.000402
doc2vec,13,205,26,0.000380,0.000311,0.000407
