feature-extraction,clustering-algo,run#,state,AMI,ARI,NMI,time
Bag of Words,LSI,6,12,0.20856733174337574,0.18760499947545364,0.20892295803590807,10.938497066497803
Bag of Words,LSI,7,14,0.20824511996483736,0.18734037785227528,0.20860102855022933,10.887515306472778
Bag of Words,LSI,8,16,0.20848228372606728,0.1875428795224509,0.20883801119109197,10.830506563186646
Bag of Words,LSI,9,18,0.20846975819289226,0.18750352565129433,0.20882547957322614,10.937459230422974
Bag of Words,LSI,10,20,0.20838928836383952,0.18743176825803753,0.20874508066054637,10.951194047927856
Bag of Words,LSI,11,22,0.20825607272738217,0.18737427650141833,0.20861191318513164,10.836035966873169
Bag of Words,LSI,12,24,0.20839491399095453,0.18739116190543717,0.20875067353856852,10.847248315811157
Bag of Words,LSI,13,26,0.20825340293068154,0.18730765655596615,0.2086092234628436,10.8162682056427
Bag of Words,LSI,14,28,0.20852958647941003,0.18763028410276436,0.2088852920345191,10.813093423843384
Bag of Words,LSI,15,30,0.2081609656099442,0.18740555080685606,0.2085169022273506,10.84151554107666
Bag of Words,LSI,16,32,0.20821578529858126,0.18729158908152216,0.20857164840952722,10.838261842727661
Bag of Words,LSI,17,34,0.20846358302328477,0.18761831758879194,0.20881927437243525,10.912275552749634
Bag of Words,LSI,18,36,0.20849025674244598,0.18760859050271084,0.20884592973449204,10.816602230072021
Bag of Words,LSI,19,38,0.2080164960963274,0.187236480035957,0.20837246091756867,10.859882593154907
Bag of Words,LSI,20,40,0.20824538297716638,0.18737050239528136,0.20860121918691826,11.041371822357178
Bag of Words,NMF,1,2,0.1273199725727781,0.10648182270697533,0.1277278511157281,1759.9249708652496
Bag of Words,NMF,2,4,0.21572142904938152,0.23237824592277964,0.21607040958216323,1794.2040383815765
Bag of Words,NMF,3,6,0.1966838920599332,0.20400024060683308,0.19704504711042792,1788.3558313846588
Bag of Words,NMF,4,8,0.1409758556589505,0.12431234112797744,0.14137242110201068,1794.118987083435
Bag of Words,NMF,5,10,0.20886599838944686,0.21683313566892043,0.20922449791210512,1694.367595911026
Bag of Words,NMF,6,12,0.22507403703107065,0.23993554700508993,0.2254201803388647,1654.3843553066254
Bag of Words,NMF,7,14,0.175940805253856,0.1601487195966846,0.17631973803143394,1685.1655158996582
