feature-extraction,clustering-algo,run#,state,AMI,ARI,NMI,time
tf-idf,LDA,5,10,0.5544481260550381,0.5849296211136513,0.5546388563334851,2352.0670053958893
tf-idf,LDA,6,12,0.5924537620369839,0.6344751364031541,0.5926279817380017,2355.294590950012
tf-idf,LDA,7,14,0.5329987406915995,0.5592211354177008,0.5331985074339183,2241.6202726364136
tf-idf,LDA,8,16,0.5004730393910604,0.5139309595672958,0.5006868808812427,2320.2971987724304
tf-idf,LDA,9,18,0.3569431488277789,0.3339490350823211,0.3572200678131967,2211.3652172088623
tf-idf,LDA,10,20,0.5387407064004188,0.5748020457313754,0.5389379244191561,2225.70490026474
tf-idf,LDA,11,22,0.589288677756934,0.6337104087386882,0.5894642296293017,2200.155518770218
tf-idf,LDA,12,24,0.4896188082315918,0.5087015801560327,0.4898384268073198,2279.5880925655365
tf-idf,LDA,13,26,0.5123696461149749,0.5329712687430979,0.5125791687923631,2256.399055480957
tf-idf,LDA,14,28,0.4950174443382055,0.4907562062907,0.4952367621479827,2298.10560131073
tf-idf,LDA,15,30,0.4929612298515279,0.4949252151088464,0.4931798459490581,2306.050523042679
tf-idf,LDA,16,32,0.5361313947949395,0.5685758166960895,0.5363302373607753,2314.790752887726
tf-idf,LDA,17,34,0.4336741379033792,0.4398864866201526,0.4339171593004788,2332.2132320404053
tf-idf,LDA,18,36,0.3673793723565787,0.3534399065748163,0.3676521696401678,2351.5818684101105
tf-idf,LDA,19,38,0.45585415641608,0.4314822999361797,0.4560873617051753,2331.288805246353
tf-idf,LDA,20,40,0.5792728620251146,0.6257277365883139,0.5794527272949512,2308.331002473831
tf-idf,LSI,1,2,0.0396717377625203,0.001900615074736,0.0401317992969335,27.789311408996586
tf-idf,LSI,2,4,0.0396462435503011,0.0019105048249448,0.0401064000817427,25.391716241836548
tf-idf,LSI,3,6,0.0399392391620017,0.001956673769234,0.0403989633160619,34.1844048500061
tf-idf,LSI,4,8,0.0403232052297766,0.0019747958275351,0.040782428583244,19.70910954475403
tf-idf,LSI,5,10,0.0400655665892095,0.0019722569924767,0.0405251123908715,19.40764832496643
tf-idf,LSI,6,12,0.0395255995368322,0.0019054800212141,0.0399860789183929,27.448270559310917
tf-idf,LSI,7,14,0.0398451573525779,0.0019453639707476,0.0403049265576203,26.583688974380493
tf-idf,LSI,8,16,0.039794692502607,0.0019092553792589,0.0402548407636087,27.63068032264709
tf-idf,LSI,9,18,0.0398676418816232,0.0019333535652754,0.0403274003199709,25.22837996482849
tf-idf,LSI,10,20,0.0405071401580996,0.0019959052090555,0.0409663569605509,26.05629563331604
tf-idf,LSI,11,22,0.0392466115469238,0.0018686337920218,0.0397071685832198,26.27637505531311
tf-idf,LSI,12,24,0.0406552789084442,0.0020004766254304,0.0411142256001851,30.792507648468018
tf-idf,LSI,13,26,0.040027696267986,0.0019482269420434,0.0404873237712235,29.6923668384552
tf-idf,LSI,14,28,0.0398689254302685,0.0019275689452132,0.04032894721453,33.0458550453186
tf-idf,LSI,15,30,0.0401272366568144,0.0019551696140222,0.0405867254407418,24.255754232406616
tf-idf,LSI,16,32,0.0397856454653307,0.0019329098379206,0.0402455889775842,29.35889220237732
tf-idf,LSI,17,34,0.0403616917623054,0.0019989636094866,0.0408208330185944,25.43747043609619
tf-idf,LSI,18,36,0.039254090402521,0.0018548563513089,0.0397147627011613,26.61116600036621
tf-idf,LSI,19,38,0.0397882055616005,0.0019533130403916,0.0402482046598453,22.683680057525635
tf-idf,LSI,20,40,0.0396599035879355,0.0019085231512199,0.0401198796130311,19.597464323043823
